doc_number,doc_date,doc_type,service_id,person_name_raw,date_from,date_to,reason,place,status,superseded_by,source_file
№101,2026-05-07,відпустка,UNIT-0004,Гаврилів Борислав Петрович,2026-05-10,2026-05-24,щорічна основна відпустка за 2026 рік,м. Львів,чинний,,leave_001.pdf
№102,2026-05-01,відпустка,UNIT-0016,Батіг Веніямин Яковович,2026-05-04,2026-05-18,відпустка за сімейними обставинами,м. Полтава,чинний,,leave_002.pdf
№103,2026-05-01,відпустка,UNIT-0028,Орлик Роман Кирилович,2026-05-06,2026-05-13,щорічна додаткова відпустка (за особливий характер служби) за 2026 рік,м. Вінниця,чинний,,leave_003.pdf
№104,2026-05-02,відпустка,UNIT-0040,Товстоліс Панас Павлович,2026-05-08,2026-05-21,відпустка для лікування після хвороби згідно з висновком ВЛК,м. Черкаси,чинний,,leave_004.pdf
№105,2026-05-04,відпустка,UNIT-0052,Гузь Олег Арсенович,2026-05-11,2026-05-30,відпустка у зв’язку з навчанням,м. Житомир,чинний,,leave_005.pdf
№106,2026-05-02,відпустка,UNIT-0064,Тихий Климент Хомович,2026-05-05,2026-05-16,щорічна основна відпустка за 2026 рік,м. Чернівці,чинний,,leave_006.pdf
№107,2026-05-08,відпустка,UNIT-0076,Яремків Лариса Данівна,2026-05-12,2026-05-19,відпустка за сімейними обставинами,м. Ужгород,чинний,,leave_007.pdf
№108,2026-05-02,відпустка,UNIT-0088,Дашенко Герман Аркадійович,2026-05-07,2026-05-26,щорічна додаткова відпустка (за особливий характер служби) за 2026 рік,м. Рівне,чинний,,leave_008.pdf
№109,2026-05-03,відпустка,UNIT-0100,Проценко Валентин Ігорович,2026-05-09,2026-05-23,відпустка для лікування після хвороби згідно з висновком ВЛК,м. Суми,чинний,,leave_009.pdf
№110,2026-05-06,відпустка,UNIT-0112,Фесенко Василина Максимівна,2026-05-13,2026-05-27,відпустка у зв’язку з навчанням,м. Тернопіль,чинний,,leave_010.pdf
№201,2026-05-07,відрядження,UNIT-0124,Бабко Павло Ярославович,2026-05-12,2026-05-15,приймання-передача майна служби пального,м. Черкаси,чинний,,trip_001.pdf
№202,2026-05-01,відрядження,UNIT-0136,Деряжний Орхип Олегович,2026-05-04,2026-05-08,звірка облікових даних особового складу,м. Житомир,чинний,,trip_002.pdf
№203,2026-05-01,відрядження,UNIT-0148,Єсипенко Аврелій Русланович,2026-05-06,2026-05-07,супроводження вантажу та передача автомобільної техніки,м. Чернівці,чинний,,trip_003.pdf
№204,2026-05-08,відрядження,UNIT-0160,Забашта Андрій Валерійович,2026-05-11,2026-05-20,участь у зборах фахівців фінансових служб,м. Ужгород,чинний,,trip_004.pdf
№205,2026-05-09,відрядження,UNIT-0172,Гайда Михайло Опанасович,2026-05-13,2026-05-18,проходження курсу підвищення кваліфікації,м. Рівне,чинний,,trip_005.pdf
№206,2026-05-01,відрядження,UNIT-0184,Габелко Богдан Мартинович,2026-05-05,2026-05-11,отримання засобів індивідуального захисту,м. Суми,чинний,,trip_006.pdf
№207,2026-05-12,відрядження,UNIT-0196,Яремків Давид Орестович,2026-05-18,2026-05-21,технічний нагляд за ремонтом колісної техніки,м. Тернопіль,чинний,,trip_007.pdf
№208,2026-05-01,відрядження,UNIT-0208,Ярема Артем Русланович,2026-05-07,2026-05-14,участь у зборах з бойової підготовки,м. Хмельницький,чинний,,trip_008.pdf
