service_id,full_name,rank,position_title,subdivision,phone
UNIT-0001,Гавриш Адам Станіславович,сержант,старшина роти,2-га механізована рота,+380 02 654-23-51
UNIT-0002,Вернигора Іван Артемович,старшина,командир відділення,3-тя механізована рота,+380 (47) 525-53-41
UNIT-0003,Дрозденко Максим Соломонович,рядовий,сапер,1-ша механізована рота,+380 (96) 532-87-10
UNIT-0004,Гаврилів Борислав Петрович,старшина,старшина роти,1-ша механізована рота,489 32 52
UNIT-0005,Абраменко Назар Демʼянович,рядовий,сапер,1-ша механізована рота,+380 65 787-13-31
UNIT-0006,Примаченко Аврелій Омелянович,старший солдат,санітар-інструктор,3-тя механізована рота,+380 (56) 670-10-65
UNIT-0007,Гаврилишин Вʼячеслав Васильович,старший сержант,командир відділення,2-га механізована рота,+380 (02) 606-47-46
UNIT-0008,Якимчук Данна Васильівна,старший сержант,заступник командира взводу,2-га механізована рота,+380 (99) 854-35-34
UNIT-0009,Терещук Богуслав Прохорович,рядовий,сапер,1-ша механізована рота,+380 98 084-12-41
UNIT-0010,Гавриленко Роман Несторович,сержант,заступник командира взводу,3-тя механізована рота,112-80-59
UNIT-0011,Данько Єфрем Богуславович,рядовий,сапер,1-ша механізована рота,+380 33 754 33 03
UNIT-0012,Тимченко Демид Гордійович,старший солдат,водій,Взвод забезпечення,040 608-83-56
UNIT-0013,Бевзенко Орест Дмитрович,старший солдат,кулеметник,1-ша механізована рота,+380 77 738-72-14
UNIT-0014,Пилипенко Арсен Юстимович,старший солдат,снайпер,3-тя механізована рота,087 083 17 27
UNIT-0015,Опанасенко Ростислав Леонідович,старший сержант,старшина роти,3-тя механізована рота,+380 (23) 166-58-76
UNIT-0016,Батіг Веніямин Яковович,старший солдат,стрілець,Взвод забезпечення,+380 (27) 298-06-99
UNIT-0017,Артимишин Аркадій Панасович,старший сержант,командир відділення,Взвод забезпечення,003 30 92
UNIT-0018,Каденюк Богуслав Кирилович,рядовий,санітар-інструктор,1-ша механізована рота,905 86 51
UNIT-0019,Деряжний Омелян Захарович,старший лейтенант,командир взводу,2-га механізована рота,+380 37 996 50 75
UNIT-0020,Євдокименко Леонід Вікторович,рядовий,навідник,2-га механізована рота,049 578-85-68
UNIT-0021,Перебийніс Захар Святославович,старший солдат,зв'язківець,3-тя механізована рота,040 824 00 84
UNIT-0022,Гриценко Олесь Стефанович,старший солдат,санітар-інструктор,Управління батальйону,+380 13 186-99-93
UNIT-0023,Скорик Климент Леонідович,молодший лейтенант,начальник штабу батальйону,3-тя механізована рота,+380 40 344 71 34
UNIT-0024,Жаліло Єлисей Богданович,рядовий,зв'язківець,3-тя механізована рота,+380 94 013-99-04
UNIT-0025,Бабенко Руслан Стефанович,старший сержант,командир відділення,2-га механізована рота,+380 51 680-87-60
UNIT-0026,Єресько Розалія Орестівна,молодший сержант,старшина роти,2-га механізована рота,712 74 84
UNIT-0027,Фаренюк Стефан Макарович,рядовий,сапер,3-тя механізована рота,+380 (75) 339-63-60
UNIT-0028,Орлик Роман Кирилович,старший сержант,старшина роти,3-тя механізована рота,+380 (15) 865-78-09
UNIT-0029,Бевз Володимир Петрович,рядовий,водій,1-ша механізована рота,969 37 92
UNIT-0030,Ісаєнко Світлана Охрімівна,старший солдат,оператор БПЛА,Управління батальйону,+380 40 640-90-97
UNIT-0031,Малишко Камілла Омелянівна,рядовий,санітар-інструктор,3-тя механізована рота,+380 88 424-74-51
UNIT-0032,Шило Антон Борисович,рядовий,кулеметник,2-га механізована рота,+380 61 200-47-11
UNIT-0033,Їжак Феофан Михайлович,лейтенант,заступник командира батальйону,2-га механізована рота,017 139-00-53
UNIT-0034,Гречко Сергій Олексович,рядовий,сапер,1-ша механізована рота,240-26-81
UNIT-0035,Батюк Лесь Леонтійович,молодший сержант,старшина роти,3-тя механізована рота,012 499 85 69
UNIT-0036,Михайличенко Костянтин Микитович,старший солдат,зв'язківець,2-га механізована рота,161 52 80
UNIT-0037,Пелех Віолетта Євгенівна,рядовий,навідник,3-тя механізована рота,+380 45 502-29-61
UNIT-0038,Данилюк Прохір Павлович,старший солдат,снайпер,2-га механізована рота,+380 (43) 815-61-49
UNIT-0039,Якимчук Макар Прохорович,рядовий,снайпер,2-га механізована рота,607-15-96
UNIT-0040,Товстоліс Панас Павлович,рядовий,оператор БПЛА,1-ша механізована рота,883 55 23
UNIT-0041,Власюк Борис Гаврилович,капітан,заступник командира батальйону,3-тя механізована рота,+380 00 541 19 98
UNIT-0042,Сомко Левко Олесьович,старший сержант,старшина роти,3-тя механізована рота,+380 66 590-51-51
UNIT-0043,Стець Гордій Гаврилович,рядовий,снайпер,3-тя механізована рота,035 733 22 14
UNIT-0044,Вітрук Леопольд Теодорович,сержант,старшина роти,1-ша механізована рота,047 359-77-46
UNIT-0045,Гаєвський Макар Йосипович,молодший сержант,старшина роти,3-тя механізована рота,+380 06 068-53-61
UNIT-0046,Сірко Віталій Адамович,старший лейтенант,заступник командира батальйону,1-ша механізована рота,036 97 11
UNIT-0047,Базилевський Назар Михайлович,капітан,начальник штабу батальйону,3-тя механізована рота,+380 06 540 51 53
UNIT-0048,Влох Святослав Олесьович,старший сержант,командир відділення,2-га механізована рота,+380 03 450-54-15
UNIT-0049,Цісик Феофан Єлисейович,рядовий,навідник,3-тя механізована рота,+380 (27) 570-59-64
UNIT-0050,Барабаш Антон Прохорович,капітан,командир взводу,1-ша механізована рота,+380 (54) 310-27-86
UNIT-0051,Гайдамака Геннадій Тимофійович,рядовий,снайпер,Управління батальйону,037 058 95 78
UNIT-0052,Гузь Олег Арсенович,сержант,заступник командира взводу,3-тя механізована рота,824 22 53
UNIT-0053,Рак Ярослав Миронович,старший лейтенант,заступник командира батальйону,1-ша механізована рота,+380 39 690-78-44
UNIT-0054,Юрчук Лариса Трохимівна,старший сержант,старшина роти,3-тя механізована рота,+380 73 210-46-96
UNIT-0055,Килимник Трохим Вадимович,рядовий,стрілець,2-га механізована рота,+380 79 748-01-62
UNIT-0056,Короленко Пилип Іванович,старший солдат,оператор БПЛА,2-га механізована рота,+380 23 986-80-00
UNIT-0057,Ґерус Пантелеймон Дмитрович,старший сержант,заступник командира взводу,2-га механізована рота,551-69-40
UNIT-0058,Штокало Лілія Павлівна,старшина,старшина роти,2-га механізована рота,+380 02 838 57 86
UNIT-0059,Онищенко Валерій Леопольдович,рядовий,сапер,3-тя механізована рота,+380 (65) 240-41-57
UNIT-0060,Колісниченко Роман Макарович,старший сержант,старшина роти,2-га механізована рота,+380 34 540 19 38
UNIT-0061,Бабʼяк Юстим Валерійович,рядовий,оператор БПЛА,3-тя механізована рота,+380 27 420-54-93
UNIT-0062,Дзиндра Олег Павлович,старший сержант,заступник командира взводу,3-тя механізована рота,+380 30 174-26-84
UNIT-0063,Гайдамака Олесь Глібович,рядовий,кулеметник,1-ша механізована рота,025 871 39 71
UNIT-0064,Тихий Климент Хомович,лейтенант,начальник штабу батальйону,3-тя механізована рота,+380 62 265-67-66
UNIT-0065,Ватаманюк Охрім Пилипович,рядовий,навідник,3-тя механізована рота,010 690-33-11
UNIT-0066,Атаманчук Климент Опанасович,рядовий,оператор БПЛА,3-тя механізована рота,+380 08 926-87-05
UNIT-0067,Скоробогатько Сергій Мирославович,старший солдат,сапер,3-тя механізована рота,751 83 04
UNIT-0068,Скиба Остап Орестович,старший сержант,заступник командира взводу,2-га механізована рота,+380 45 877-17-53
UNIT-0069,Симоненко Давид Єфремович,лейтенант,начальник штабу батальйону,1-ша механізована рота,052 287 28 08
UNIT-0070,Атаманчук Тарас Ярославович,старший солдат,снайпер,3-тя механізована рота,+380 (00) 848-40-86
UNIT-0071,Дурдинець Орхип Артемович,рядовий,санітар-інструктор,1-ша механізована рота,017 659 18 03
UNIT-0072,Заруба Хома Русланович,рядовий,кулеметник,2-га механізована рота,018 501 63 15
UNIT-0073,Тесленко Семен Демʼянович,рядовий,стрілець,3-тя механізована рота,065 511 04 75
UNIT-0074,Лазаренко Орхип Богуславович,старший сержант,заступник командира взводу,3-тя механізована рота,+380 (22) 444-72-12
UNIT-0075,Цимбал Герман Йосипович,підполковник,командир роти,3-тя механізована рота,+380 59 375-26-54
UNIT-0076,Яремків Лариса Данівна,старший лейтенант,командир взводу,Управління батальйону,797 96 88
UNIT-0077,Фесенко Марко Азарович,рядовий,оператор БПЛА,2-га механізована рота,+380 98 250 71 46
UNIT-0078,Вдовенко Богдан Яковович,рядовий,сапер,1-ша механізована рота,+380 36 226 60 93
UNIT-0079,Чміль Михайло Климентович,лейтенант,командир роти,3-тя механізована рота,+380 92 499 12 51
UNIT-0080,Каденюк Данило Богданович,рядовий,оператор БПЛА,2-га механізована рота,+380 90 507 23 68
UNIT-0081,Ґжицький Онисим Мартинович,лейтенант,командир взводу,3-тя механізована рота,+380 85 807-83-61
UNIT-0082,Кибкало Гліб Азарович,молодший сержант,старшина роти,2-га механізована рота,+380 94 812-60-42
UNIT-0083,Гупало Вʼячеслав Борисович,молодший сержант,заступник командира взводу,2-га механізована рота,+380 18 636-37-45
UNIT-0084,Макаренко Демʼян Несторович,сержант,старшина роти,3-тя механізована рота,520 64 36
UNIT-0085,Верменич Панас Артемович,старший солдат,навідник,2-га механізована рота,021 890 92 75
UNIT-0086,Засуха Олександр Степанович,рядовий,оператор БПЛА,3-тя механізована рота,+380 38 983-64-03
UNIT-0087,Яценко Ігнат Богданович,рядовий,оператор БПЛА,1-ша механізована рота,+380 (84) 866-61-88
UNIT-0088,Дашенко Герман Аркадійович,старший сержант,старшина роти,Взвод забезпечення,020 27 58
UNIT-0089,Конопленко Валентин Ігнатович,капітан,командир батальйону,Взвод забезпечення,380 00 30
UNIT-0090,Шовкопляс Зиновій Едуардович,рядовий,кулеметник,1-ша механізована рота,+380 44 518 70 53
UNIT-0091,Матяш Миколай Трохимович,рядовий,снайпер,2-га механізована рота,+380 (70) 241-03-86
UNIT-0092,Сич Костянтин Степанович,старший солдат,оператор БПЛА,3-тя механізована рота,212 77 56
UNIT-0093,Годунок Максим Зорянович,старший солдат,сапер,3-тя механізована рота,+380 88 317 12 10
UNIT-0094,Батіг Стефан Тимофійович,старший солдат,навідник,1-ша механізована рота,+380 (67) 066-25-32
UNIT-0095,Литвин Герман Леонтійович,рядовий,навідник,1-ша механізована рота,+380 78 759-85-64
UNIT-0096,Дутка Адам Демидович,майор,командир батальйону,2-га механізована рота,+380 90 599-29-37
UNIT-0097,Оберемко Валерій Максимович,старшина,заступник командира взводу,1-ша механізована рота,569 15 45
UNIT-0098,Ґерета Вадим Соломонович,рядовий,зв'язківець,3-тя механізована рота,091 725-13-55
UNIT-0099,Джус Олесь Арсенович,старший солдат,зв'язківець,1-ша механізована рота,040 54 11
UNIT-0100,Проценко Валентин Ігорович,старший солдат,навідник,2-га механізована рота,698-72-05
UNIT-0101,Аверченко Єлисей Арсенович,рядовий,сапер,1-ша механізована рота,+380 (52) 704-77-43
UNIT-0102,Лагода Миколай Амвросійович,старший солдат,санітар-інструктор,3-тя механізована рота,023 320 61 63
UNIT-0103,Данько Лілія Давидівна,старший солдат,снайпер,3-тя механізована рота,485 64 67
UNIT-0104,Штепа Азар Валерійович,сержант,командир відділення,3-тя механізована рота,+380 54 691 37 36
UNIT-0105,Ющенко Руслан Миронович,старший солдат,сапер,1-ша механізована рота,+380 78 610-35-79
UNIT-0106,Червоненко Валерій Кирилович,рядовий,навідник,2-га механізована рота,+380 66 574-37-48
UNIT-0107,Тесленко Мирослав Орхипович,рядовий,стрілець,1-ша механізована рота,+380 (66) 099-35-38
UNIT-0108,Шухевич Юстим Прохорович,старший сержант,командир відділення,1-ша механізована рота,+380 09 991 73 81
UNIT-0109,Скоробогатько Макар Данилович,лейтенант,начальник штабу батальйону,1-ша механізована рота,096 666 76 00
UNIT-0110,Жук Пилип Ігнатович,рядовий,оператор БПЛА,1-ша механізована рота,057 532 60 33
UNIT-0111,Гунько Віктор Соломонович,рядовий,навідник,1-ша механізована рота,004 618-49-92
UNIT-0112,Фесенко Василина Максимівна,рядовий,санітар-інструктор,2-га механізована рота,197 21 81
UNIT-0113,Вітрук Хома Гаврилович,сержант,командир відділення,3-тя механізована рота,552 16 67
UNIT-0114,Лемешко Соломія Романівна,рядовий,оператор БПЛА,2-га механізована рота,+380 50 899-35-88
UNIT-0115,Верховинець Єфрем Пилипович,молодший сержант,старшина роти,2-га механізована рота,+380 (31) 779-71-77
UNIT-0116,Онуфрієнко Богодар Мартинович,старший сержант,командир відділення,3-тя механізована рота,+380 11 305 54 88
UNIT-0117,Сімашкевич Павло Орхипович,молодший сержант,старшина роти,3-тя механізована рота,070 808 69 78
UNIT-0118,Доценко Петро Олесьович,рядовий,зв'язківець,1-ша механізована рота,033 945-22-88
UNIT-0119,Пʼятаченко Панас Богданович,рядовий,сапер,3-тя механізована рота,438-05-71
UNIT-0120,Іваничук Роман Панасович,рядовий,навідник,3-тя механізована рота,012 281 60 64
UNIT-0121,Короленко Віра Вадимівна,рядовий,снайпер,2-га механізована рота,+380 (15) 335-55-43
UNIT-0122,Шутько Микита Юхимович,рядовий,санітар-інструктор,Управління батальйону,058 112-88-01
UNIT-0123,Запорожець Орест Петрович,сержант,командир відділення,2-га механізована рота,+380 (65) 061-80-91
UNIT-0124,Бабко Павло Ярославович,сержант,командир відділення,1-ша механізована рота,009 96 88
UNIT-0125,Вдовенко Данило Веніяминович,старший солдат,водій,3-тя механізована рота,+380 55 231 49 13
UNIT-0126,Орлик Леонід Леонтійович,рядовий,снайпер,1-ша механізована рота,+380 54 781 29 14
UNIT-0127,Давимука Франц Михайлович,сержант,командир відділення,Управління батальйону,078 816 58 03
UNIT-0128,Деркач Ростислав Миколайович,сержант,заступник командира взводу,1-ша механізована рота,051-84-49
UNIT-0129,Дубина Сніжана Павлівна,лейтенант,командир роти,1-ша механізована рота,025 913 65 17
UNIT-0130,Щириця Леон Веніяминович,старший солдат,оператор БПЛА,2-га механізована рота,+380 13 797-72-36
UNIT-0131,Данильчук Симон Олесьович,старший сержант,заступник командира взводу,3-тя механізована рота,881-17-29
UNIT-0132,Абрамчук Франц Тимофійович,старший сержант,старшина роти,Управління батальйону,098-18-06
UNIT-0133,Забіла Петро Федорович,старший лейтенант,командир батальйону,Взвод забезпечення,+380 62 137-21-38
UNIT-0134,Титаренко Сергій Захарович,молодший сержант,старшина роти,1-ша механізована рота,+380 70 384 30 98
UNIT-0135,Ісаєнко Олег Валентинович,сержант,заступник командира взводу,3-тя механізована рота,093 769-04-26
UNIT-0136,Деряжний Орхип Олегович,рядовий,оператор БПЛА,3-тя механізована рота,+380 (33) 565-88-04
UNIT-0137,Килимник Гордій Арсенович,рядовий,сапер,3-тя механізована рота,095 211-17-90
UNIT-0138,Бабиченко Теодор Макарович,рядовий,кулеметник,1-ша механізована рота,+380 00 369-15-59
UNIT-0139,Конопленко Варфоломій Несторович,рядовий,санітар-інструктор,2-га механізована рота,086 632-27-02
UNIT-0140,Франко Леонтій Болеславович,старший сержант,старшина роти,1-ша механізована рота,+380 50 615-93-99
UNIT-0141,Дубина Семен Григорійович,рядовий,зв'язківець,3-тя механізована рота,+380 49 647-59-87
UNIT-0142,Усик Валентин Варфоломійович,старший солдат,санітар-інструктор,1-ша механізована рота,047 228-20-05
UNIT-0143,Павличенко Трохим Кирилович,сержант,старшина роти,1-ша механізована рота,+380 00 825-47-80
UNIT-0144,Яремко Ростислав Макарович,сержант,командир відділення,2-га механізована рота,+380 63 122-41-79
UNIT-0145,Чуйко Георгій Святославович,рядовий,навідник,1-ша механізована рота,512-04-61
UNIT-0146,Шиян Єлисавета Васильівна,сержант,заступник командира взводу,2-га механізована рота,+380 35 031-36-50
UNIT-0147,Джус Симон Гордійович,рядовий,санітар-інструктор,3-тя механізована рота,273 58 57
UNIT-0148,Єсипенко Аврелій Русланович,старший сержант,командир відділення,Управління батальйону,+380 44 857 08 62
UNIT-0149,Андрійович Розалія Стефанівна,рядовий,сапер,3-тя механізована рота,017 310-96-78
UNIT-0150,Колісниченко Альберт Іванович,рядовий,санітар-інструктор,2-га механізована рота,086 338-39-28
UNIT-0151,Фаренюк Роман Орхипович,старший солдат,оператор БПЛА,Взвод забезпечення,+380 77 600-49-08
UNIT-0152,Ґереґа Феофан Данилович,підполковник,командир взводу,1-ша механізована рота,969 31 57
UNIT-0153,Дубенко Леонід Юхимович,лейтенант,командир взводу,3-тя механізована рота,058 320 67 99
UNIT-0154,Гоголь-Яновський Арсен Віталійович,рядовий,водій,1-ша механізована рота,014 659-11-66
UNIT-0155,Сацюк Дмитро Васильович,молодший лейтенант,командир батальйону,3-тя механізована рота,+380 14 770-53-83
UNIT-0156,Забара Марко Миронович,рядовий,оператор БПЛА,2-га механізована рота,068 157-98-12
UNIT-0157,Жарко Леопольд Леопольдович,старший сержант,старшина роти,1-ша механізована рота,+380 (21) 689-36-39
UNIT-0158,Дашенко Єлисей Давидович,рядовий,оператор БПЛА,Управління батальйону,005 664 74 23
UNIT-0159,Гавриленко Богуслав Варфоломійович,молодший сержант,заступник командира взводу,2-га механізована рота,033 060 46 33
UNIT-0160,Забашта Андрій Валерійович,рядовий,сапер,1-ша механізована рота,+380 (08) 680-34-76
UNIT-0161,Нестайко Семен Юхимович,рядовий,зв'язківець,3-тя механізована рота,071 452-11-17
UNIT-0162,Саєнко Аркадій Мирославович,капітан,заступник командира батальйону,Взвод забезпечення,+380 07 778-09-73
UNIT-0163,Захаренко Михайло Пилипович,рядовий,кулеметник,2-га механізована рота,162-24-99
UNIT-0164,Доценко Костянтин Степанович,сержант,старшина роти,3-тя механізована рота,794 69 54
UNIT-0165,Рубець Яків Богуславович,рядовий,стрілець,1-ша механізована рота,344-14-48
UNIT-0166,Павленко Святослав Ааронович,старший солдат,водій,3-тя механізована рота,395-51-24
UNIT-0167,Архимович Демʼян Ігорович,старший солдат,снайпер,2-га механізована рота,317-80-78
UNIT-0168,Дашкевич Василь Захарович,рядовий,навідник,2-га механізована рота,+380 35 334-48-57
UNIT-0169,Гайдамака Георгій Бориславович,старший солдат,санітар-інструктор,3-тя механізована рота,+380 01 601 66 29
UNIT-0170,Червоненко Олег Зорянович,молодший сержант,командир відділення,2-га механізована рота,+380 70 171 57 72
UNIT-0171,Мазур Святослав Зиновійович,рядовий,сапер,1-ша механізована рота,+380 (69) 583-21-97
UNIT-0172,Гайда Михайло Опанасович,старший солдат,навідник,1-ша механізована рота,+380 69 973-35-49
UNIT-0173,Нестайко Юхим Костянтинович,старший солдат,санітар-інструктор,Взвод забезпечення,+380 66 668-32-72
UNIT-0174,Єресько Микита Едуардович,рядовий,стрілець,1-ша механізована рота,+380 (87) 653-26-90
UNIT-0175,Абрагамовський Теодор Соломонович,рядовий,сапер,2-га механізована рота,894 90 58
UNIT-0176,Александренко Лесь Леопольдович,рядовий,кулеметник,2-га механізована рота,442 94 44
UNIT-0177,Алексюк Прохір Богданович,рядовий,стрілець,2-га механізована рота,039 504 10 27
UNIT-0178,Тимченко Лесь Данилович,старшина,старшина роти,3-тя механізована рота,496 73 93
UNIT-0179,Приймак Остап Русланович,молодший лейтенант,начальник штабу батальйону,1-ша механізована рота,119 26 92
UNIT-0180,Гаврилюк Павло Варфоломійович,підполковник,начальник штабу батальйону,3-тя механізована рота,+380 12 863 91 74
UNIT-0181,Власюк Азар Антонович,старший сержант,заступник командира взводу,2-га механізована рота,830 67 19
UNIT-0182,Рябошапка Демид Ростиславович,молодший сержант,командир відділення,2-га механізована рота,+380 32 030 93 76
UNIT-0183,Батуринець Марʼяна Кирилівна,рядовий,водій,2-га механізована рота,417-92-91
UNIT-0184,Габелко Богдан Мартинович,рядовий,стрілець,2-га механізована рота,219-62-07
UNIT-0185,Ватаманюк Аарон Ааронович,рядовий,навідник,2-га механізована рота,+380 60 833-18-19
UNIT-0186,Сагаль Трохим Тарасович,рядовий,оператор БПЛА,2-га механізована рота,822-07-81
UNIT-0187,Безбородько Клавдія Семенівна,рядовий,оператор БПЛА,3-тя механізована рота,+380 (23) 972-65-27
UNIT-0188,Єфименко Олександр Зорянович,молодший сержант,старшина роти,1-ша механізована рота,+380 39 774 06 33
UNIT-0189,Панчук Ольга Несторівна,старший солдат,оператор БПЛА,1-ша механізована рота,010 742-79-90
UNIT-0190,Чумаченко Левко Теодорович,старшина,старшина роти,1-ша механізована рота,+380 01 657-90-55
UNIT-0191,Дзиндра Омелян Олегович,рядовий,оператор БПЛА,2-га механізована рота,+380 88 178 84 79
UNIT-0192,Свириденко Соломон Романович,рядовий,оператор БПЛА,2-га механізована рота,+380 56 704 31 03
UNIT-0193,Пилипенко Едуард Олесьович,старший сержант,старшина роти,3-тя механізована рота,+380 72 928-42-22
UNIT-0194,Демиденко Володимир Богданович,старший сержант,старшина роти,2-га механізована рота,075 208 85 47
UNIT-0195,Масоха Ярослав Стефанович,сержант,старшина роти,2-га механізована рота,+380 30 187-18-63
UNIT-0196,Яремків Давид Орестович,капітан,командир роти,3-тя механізована рота,+380 (62) 991-23-47
