service_id,rank,last_name,first_name,patronymic,full_name,gender,position_index,position_title,subdivision,position_assigned_date,arrived_from,enrollment_date,enrollment_order_date,enrollment_order_number,appointment_order_date,appointment_order_issuer,appointment_order_number,rank_order_date,rank_order_issuer,rank_order_number,service_type,contract_start_date,contract_end_date,conscription_period,rnokpp,id_document_type,id_document_series,id_document_number,birth_date,birth_place,service_entry_date,service_entry_authority,education,relatives_info,additional_info,phone
UNIT-0001,сержант,Гавриш,Адам,Станіславович,Гавриш Адам Станіславович,чоловіча,02-001,старшина роти,2-га механізована рота,2025-01-13,запас (повторний призов),2024-07-07,2024-07-10,№556,2025-01-14,командир батальйону,№766,2024-12-17,начальник штабу батальйону,№59,військова служба за мобілізацією,,,на весь період мобілізації,0133890838,Паспорт громадянина України (книжечка),БУ,218196,1972-10-03,село Лохвиця,2024-06-27,Шевченківський РТЦК та СП м. Києва,базова вища,дружина/чоловік — Михайло,,+380 02 654-23-51
UNIT-0002,старшина,Вернигора,Іван,Артемович,Вернигора Іван Артемович,чоловіча,03-001,командир відділення,3-тя механізована рота,2025-12-16,переведення з іншої військової частини,2025-03-24,2025-03-24,№609,2025-12-21,командир батальйону,№635,2026-06-26,командир батальйону,№430,військова служба за контрактом,2025-03-15,2028-03-15,,8495931034,Паспорт громадянина України (книжечка),УЗ,407816,1975-12-16,село Чугуїв,2025-03-15,Київський РТЦК та СП Полтавської області,базова вища,"дружина/чоловік — Варвара, діти — 3",має посвідчення водія категорії C,+380 (47) 525-53-41
UNIT-0003,рядовий,Дрозденко,Максим,Соломонович,Дрозденко Максим Соломонович,чоловіча,01-001,сапер,1-ша механізована рота,2024-12-10,переведення з іншої військової частини,2024-04-01,2024-04-03,№103,2024-12-10,командир батальйону,№551,2026-03-13,командир бригади,№519,військова служба за мобілізацією,,,на весь період мобілізації,4139537672,Паспорт громадянина України (ID-картка),,648350305,1997-11-23,село Дрогобич,2024-03-25,Соборний РТЦК та СП м. Дніпра,повна загальна середня,дружина/чоловік — Лілія,,+380 (96) 532-87-10
UNIT-0004,старшина,Гаврилів,Борислав,Петрович,Гаврилів Борислав Петрович,чоловіча,01-002,старшина роти,1-ша механізована рота,2026-06-01,новобранець (мобілізація),2023-07-10,2023-07-10,№962,2026-06-06,командир бригади,№271,2025-04-21,командир батальйону,№912,військова служба за контрактом,2023-07-06,2026-07-06,,1845146270,Паспорт громадянина України (ID-картка),,916697848,1971-05-18,село Мостиська,2023-07-06,Шевченківський РТЦК та СП м. Києва,вища,неодружений(а),,489 32 52
UNIT-0005,рядовий,Абраменко,Назар,Демʼянович,Абраменко Назар Демʼянович,чоловіча,01-003,сапер,1-ша механізована рота,2026-05-01,новобранець (мобілізація),2026-04-30,2026-05-03,№650,2026-05-03,командувач Сухопутних військ ЗСУ,№850,2026-05-13,начальник штабу батальйону,№46,базова військова служба,,,12 місяців,8227824896,Паспорт громадянина України (ID-картка),,543039117,1975-04-22,село Славута,2026-04-22,Шевченківський РТЦК та СП м. Києва,професійно-технічна,неодружений(а),має досвід роботи з БПЛА,+380 65 787-13-31
UNIT-0006,старший солдат,Примаченко,Аврелій,Омелянович,Примаченко Аврелій Омелянович,чоловіча,03-002,санітар-інструктор,3-тя механізована рота,2025-01-23,Навчальний центр «Десна»,2024-02-16,2024-02-16,№559,2025-01-23,командир батальйону,№855,2024-02-19,начальник штабу батальйону,№597,військова служба за мобілізацією,,,на весь період мобілізації,7382997376,Паспорт громадянина України (ID-картка),,103105183,1989-07-18,місто Борзна,2024-02-08,Київський РТЦК та СП Полтавської області,повна загальна середня,неодружений(а),,+380 (56) 670-10-65
UNIT-0007,старший сержант,Гаврилишин,Вʼячеслав,Васильович,Гаврилишин Вʼячеслав Васильович,чоловіча,02-002,командир відділення,2-га механізована рота,2026-01-31,Навчальний центр Сухопутних військ,2023-10-21,2023-10-23,№998,2026-02-01,командир бригади,№948,2025-09-02,командир бригади,№886,військова служба за контрактом,2023-10-07,2028-10-07,,7810801326,Паспорт громадянина України (книжечка),ЩТ,262473,1975-09-22,хутір Городок,2023-10-07,Личаківський РТЦК та СП м. Львова,вища,дружина/чоловік — Трохим,,+380 (02) 606-47-46
UNIT-0008,старший сержант,Якимчук,Данна,Васильівна,Якимчук Данна Васильівна,жіноча,02-003,заступник командира взводу,2-га механізована рота,2025-03-02,Навчальний центр Сухопутних військ,2024-09-14,2024-09-15,№894,2025-03-04,командир батальйону,№880,2024-10-17,командувач Сухопутних військ ЗСУ,№228,військова служба за мобілізацією,,,на весь період мобілізації,0812191361,Паспорт громадянина України (ID-картка),,980500978,1981-04-23,місто Полонне,2024-09-02,Личаківський РТЦК та СП м. Львова,вища,дружина/чоловік — Богданна,,+380 (99) 854-35-34
UNIT-0009,рядовий,Терещук,Богуслав,Прохорович,Терещук Богуслав Прохорович,чоловіча,01-004,сапер,1-ша механізована рота,2025-09-16,переведення з іншої військової частини,2024-09-26,2024-09-26,№340,2025-09-18,командир батальйону,№119,2025-05-16,начальник штабу батальйону,№183,військова служба за мобілізацією,,,на весь період мобілізації,8384251354,Паспорт громадянина України (книжечка),ЦЯ,107991,1975-07-31,хутір Хоростків,2024-09-13,Київський РТЦК та СП Полтавської області,вища,неодружений(а),,+380 98 084-12-41
UNIT-0010,сержант,Гавриленко,Роман,Несторович,Гавриленко Роман Несторович,чоловіча,03-003,заступник командира взводу,3-тя механізована рота,2024-08-23,новобранець (мобілізація),2023-06-27,2023-06-27,№533,2024-08-26,командир бригади,№373,2024-08-31,командувач Сухопутних військ ЗСУ,№72,військова служба за контрактом,2023-06-21,2024-06-21,,4016400524,Паспорт громадянина України (книжечка),ЧО,935348,2003-11-03,хутір Новоукраїнка,2023-06-21,Соборний РТЦК та СП м. Дніпра,базова вища,"дружина/чоловік — Олена, діти — 1",,112-80-59
UNIT-0011,рядовий,Данько,Єфрем,Богуславович,Данько Єфрем Богуславович,чоловіча,01-005,сапер,1-ша механізована рота,2023-11-01,запас (повторний призов),2022-07-11,2022-07-12,№767,2023-11-02,командир бригади,№631,2024-01-20,начальник штабу батальйону,№416,військова служба за мобілізацією,,,на весь період мобілізації,3226025634,Паспорт громадянина України (ID-картка),,053315869,1981-02-10,місто Кодима,2022-07-03,Київський РТЦК та СП Полтавської області,вища,"дружина/чоловік — Амалія, діти — 2",,+380 33 754 33 03
UNIT-0012,старший солдат,Тимченко,Демид,Гордійович,Тимченко Демид Гордійович,чоловіча,04-001,водій,Взвод забезпечення,2026-01-18,запас (повторний призов),2022-10-05,2022-10-08,№635,2026-01-23,начальник штабу батальйону,№96,2023-12-04,командир бригади,№689,військова служба за мобілізацією,,,на весь період мобілізації,4294019655,Паспорт громадянина України (книжечка),СЦ,586850,1978-06-11,місто Коломия,2022-09-27,Соборний РТЦК та СП м. Дніпра,повна загальна середня,неодружений(а),,040 608-83-56
UNIT-0013,старший солдат,Бевзенко,Орест,Дмитрович,Бевзенко Орест Дмитрович,чоловіча,01-006,кулеметник,1-ша механізована рота,2026-04-01,Навчальний центр Сухопутних військ,2024-11-02,2024-11-05,№410,2026-04-06,командир бригади,№152,2025-01-30,командир батальйону,№915,військова служба за контрактом,2024-10-26,2029-10-26,,6629946804,Паспорт громадянина України (ID-картка),,484656482,1983-08-26,село Куп'янськ,2024-10-26,Шевченківський РТЦК та СП м. Києва,вища,неодружений(а),проходить строкову медичну комісію,+380 77 738-72-14
UNIT-0014,старший солдат,Пилипенко,Арсен,Юстимович,Пилипенко Арсен Юстимович,чоловіча,03-004,снайпер,3-тя механізована рота,2025-06-22,переведення з іншої військової частини,2024-02-26,2024-02-26,№325,2025-06-25,командувач Сухопутних військ ЗСУ,№628,2025-02-05,командувач Сухопутних військ ЗСУ,№851,військова служба за мобілізацією,,,на весь період мобілізації,7693676320,Паспорт громадянина України (книжечка),СТ,320037,1975-07-21,хутір Гуляйполе,2024-02-23,Київський РТЦК та СП Полтавської області,професійно-технічна,неодружений(а),проходить строкову медичну комісію,087 083 17 27
